date,developedcountries,developingcountries,africa,asiaoceania,america
09/22/2019,96.32655757922788,98.64912904372557,98.30414627225184,99.63482923770458,100
09/23/2019,96.1867481802388,98.56530650270167,97.83140523084197,99.63996428702396,100
09/24/2019,96.19944135306925,98.47409510290984,97.93271414337896,99.37719858851356,100
09/25/2019,95.85789738981788,98.53703572189475,97.5899094477268,99.56086792086867,100
09/26/2019,95.71420756058863,98.48778536585364,97.5779085937603,99.47543876738058,99.96765847347994
09/27/2019,95.76659915704198,98.50211264888956,97.36839995140996,99.45621586602712,99.96765847347994
09/28/2019,95.76659915704198,98.50211264888956,97.36839995140996,99.45621586602712,99.96765847347994
09/29/2019,95.76659915704198,98.50211264888956,97.36839995140996,99.45621586602712,99.96765847347994
09/30/2019,95.3688158210322,98.48778536585364,97.35855363798096,99.488496472566,99.96765847347994
10/01/2019,95.50417048779424,98.39181255201022,97.35592862930064,99.43938593365245,99.58118556701032
10/02/2019,95.74877958013178,98.48807495741056,97.35264776793278,99.44626342894443,99.51706374758533
10/03/2019,96.09060052506123,98.5277895192635,97.34280395232165,99.56572214499644,99.98727978121224
10/04/2019,96.04628948495262,98.89739218744332,97.36221555912806,99.64384825176356,100
10/05/2019,96.04628948495262,98.89739218744332,97.36221555912806,99.64384825176356,100
10/06/2019,96.04628948495262,98.89739218744332,97.36221555912806,99.64384825176356,100
10/07/2019,96.18251786695988,98.5131116517978,97.33626289642083,99.64892251717929,100
10/08/2019,95.84529418209708,98.74039282664388,97.30286181846311,99.30120322551664,100
10/09/2019,96.0505078232226,98.73266466306984,97.33582325989116,99.2831501661124,100
10/10/2019,96.34353179585452,98.796992481203,97.29653554176964,99.39238567558564,100
10/11/2019,96.5402315341066,98.85092502662638,97.60371134224324,99.42791139622015,100
10/12/2019,96.5402315341066,98.85092502662638,97.60371134224324,99.42791139622015,100
10/13/2019,96.5402315341066,98.85092502662638,97.60371134224324,99.42791139622015,100
10/14/2019,96.44869292935977,98.82631535407016,97.89462062383636,99.55820120273157,100
10/15/2019,96.55408388520968,98.9208749759258,97.79067043517584,99.46014955316431,100
10/16/2019,96.66718235463124,98.796992481203,97.71278081377406,99.48574833144946,100
10/17/2019,97.24099599822144,98.96755162241888,97.87850248988325,99.718820374343,100
10/18/2019,97.44572300631606,99.2063492063492,97.85461900847218,99.73800387132964,100
